file,spectral_entropy_mean_bits_overall,spectral_entropy_h1_top,spectral_entropy_h2,spectral_entropy_h3,spectral_entropy_h4_bottom,spectral_entropy_v1_left,spectral_entropy_v2_right,height,width
./spectrograms/20_song\image71.png,6.985819430201411,4.982690449116824,4.9930540406283335,4.9957352391770575,4.992462855354484,6.985079996675726,6.986558863727096,128,472
./spectrograms/20_song\image72.png,6.985954673416952,4.97829346695931,4.986913867473128,4.994221710069239,4.993684302606494,6.98552841981741,6.986380927016496,128,472
./spectrograms/20_song\image73.png,6.982104571598428,4.975956564805098,4.988849135849524,4.995346039282869,4.989222414673222,6.981435453173109,6.982773690023747,128,472
./spectrograms/20_song\image74.png,6.9635664519040485,4.9693521702981185,4.976120398324545,4.984601179249037,4.961626658397549,6.960571998329422,6.966560905478675,128,472
./spectrograms/20_song\image75.png,6.9854262662540245,4.983416627017497,4.9837993882075216,4.992017679836,4.992847808388451,6.985901581505053,6.984950951002997,128,472
./spectrograms/20_song\image76.png,6.988234213295728,4.985594707236624,4.992895380737545,4.996480706348935,4.991743604208712,6.987688880503777,6.988779546087679,128,472
./spectrograms/20_song\image77.png,6.9873374015005965,4.986718258126617,4.9927354391129555,4.995407570802798,4.991556866418603,6.986788987396743,6.987885815604452,128,472
./spectrograms/20_song\image78.png,6.98411590544916,4.980467783254407,4.988417218787548,4.992087216143139,4.9923999081638195,6.9832884617332365,6.984943349165084,128,472
./spectrograms/20_song\image8.png,6.995329193439399,4.991603263472344,4.996183648834413,4.998363539277422,4.9965878261760945,6.99567698269998,6.994981404178817,128,472
./spectrograms/20_song\image9.png,6.938288353549115,4.862584748630807,4.981449794723876,4.9921879076127995,4.974759461939888,6.938827195194778,6.937749511903453,128,472
